label,sms,char_count,word_count,has_number,has_currency,exclamation_count,processed_sms,label_num
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,83,20,0,0,0,u r much close heart u go away shatter plz stay,0
ham,Somebody should go to andros and steal ice,42,8,0,0,0,somebodi go andro steal ice,0
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",156,24,1,1,1,freemsg award free mini digit camera repli snap collect prize quizclub opt stop pwk sprwm ph,1
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,143,24,1,0,0,u secret admir look make contact ufind rreveal think ur specialcal stopsm,1
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,109,19,1,1,2,jamster get free wallpap text heart tc appli need help call,1
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,84,20,0,0,0,u horribl gal u knew dat go wif yest n u still come n ask,0
ham,Depends on where u going lor.,29,6,0,0,0,depend u go lor,0
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",151,28,1,0,3,hottest pic straight phone see get wet want xx text pic txt cost p textoper gga xxx,1
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),112,18,1,0,0,call send girl erot ecstaci pmin stop text call nat rate,1
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,95,20,0,0,0,take didnt phone callon friday assum wont year,0
spam,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),151,29,1,1,0,u r winner u ave special select receiv cash holiday flight inc speak live oper claim pmin,1
ham,Lol no ouch but wish i'd stayed out a bit longer,48,11,0,0,0,lol ouch wish id stay bit longer,0
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",173,30,1,1,0,want new nokia colour phone deliveredtomorrow free minut mobil free text free camcord repli call,1
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",78,10,0,0,0,mobil numberpl sm ur mail idconvey regard achanammarakheshqatar,0
ham,"Carlos took a while (again), we leave in a minute",49,10,0,0,0,carlo took leav minut,0
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,99,21,1,0,0,ju tell u dat ill b leav shanghai st instead well haf time meet cya,0
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",82,17,1,0,0,thk shld b ya wana go lesson haha go one whole stretch,0
ham,Crucify is c not s. You should have told me earlier.,52,11,0,0,0,crucifi c told earlier,0
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,98,21,0,0,0,uworld site buy qbank buy self assess also,0
ham,"Yes, my reg is  Ciao!",21,5,0,0,1,ye reg ciao,0
ham,Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? ,72,15,0,0,0,eatin later im eatin wif fren lei go home first,0
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",107,22,0,0,0,anyway dont think secur anyth lemm know want drive south chill,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,23,1,1,1,pleas call custom servic repres ampm guarante cash prize,1
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",293,53,1,0,0,isnt frnd neces life imagin urself witout frnd hwd u feel ur colleg watll u wth ur cell wat abt function thnk abt event espel care miss amp irrit u wrd dearlov frnd wthout u cant live jst takecar goodmorn,0
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,137,22,1,1,0,bank granit issu strongbuy explos pick member nasdaq symbol cdgt per,1
ham,U come n search tat vid..not finishd..,38,7,0,0,0,u come n search tat vidnot finishd,0
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",155,32,1,0,1,goal arsen henri v liverpool henri score simpl shot yard pass bergkamp give arsen goal margin min,1
ham,I tagged MY friends that you seemed to count as YOUR friends.,61,12,0,0,0,tag friend seem count friend,0
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,138,27,1,1,0,hey next sun there basic yoga cours bugi go pilat intro next sat tell time r free,0
ham,Ya srsly better than yi tho,27,6,0,0,0,ya srsli better yi tho,0
ham,Why you Dint come with us.,26,6,0,0,0,dint come us,0
ham,U in town alone?,16,4,0,0,0,u town alon,0
ham,Well welp is sort of a semiobscure internet thing,49,9,0,0,0,well welp sort semiobscur internet thing,0
ham,What's ur pin?,14,3,0,0,0,what ur pin,0
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,71,14,0,0,0,lol ye friendship hang thread caus u wont buy stuff,0
ham,Hey happy birthday...,21,3,0,0,0,hey happi birthday,0
ham,Was actually about to send you a reminder today. Have a wonderful weekend,73,13,0,0,0,actual send remind today wonder weekend,0
ham,Mm that time you dont like fun,30,7,0,0,0,mm time dont like fun,0
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,156,23,1,1,0,dorothykiefercom bank granit issu strongbuy explos pick member nasdaq symbol cdgt per,1
ham,Shall i send that exe to your mail id.,38,9,0,0,0,shall send exe mail id,0
spam,Call FREEPHONE 0800 542 0578 now!,33,6,1,0,1,call freephon,1
ham,Shall i come to get pickle,26,6,0,0,0,shall come get pickl,0
ham,Some of them told accenture is not confirm. Is it true.,55,11,0,0,0,told accentur confirm true,0
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,101,13,1,0,0,email alertfrom jeri stewarts kbsubject lowcost prescripiton drvgsto listen email call,1
ham,The bus leaves at  &lt;#&gt; ,29,5,0,0,0,bu leav ltgt,0
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,87,15,0,0,0,doesnt g class earli tomorrow thu shouldnt tri smoke ltgt,0
ham,Want to finally have lunch today?,33,6,0,0,0,want final lunch today,0
ham,How much for an eighth?,23,5,0,0,0,much eighth,0
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,126,30,1,0,1,hi babe u r like bed im sorri tonight realli wanna see u tomorrow call love xxx,0
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,78,15,1,0,0,rightio well arent bright earli morn,0
ham,Ard 530 lor. I ok then message ü lor.,37,9,1,0,0,ard lor ok messag lor,0
ham,I send the print  outs da.,26,6,0,0,0,send print out da,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,147,24,1,1,1,pleas call custom servic repres freephon ampm guarante cash prize,1
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,78,17,0,0,0,late said websit didnt dont slipper,0
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",123,22,0,0,0,nah straight bring bud drink someth that actual littl use straight cash,0
ham,Any pain on urination any thing else?,37,7,0,0,0,pain urin thing els,0
ham,Sent me ur email id soon,24,6,0,0,0,sent ur email id soon,0
ham,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",135,27,0,0,1,stop wonder wow ever go stop tming tm whenev want mine laugh,0
ham,You can never do NOTHING,24,5,0,0,0,never noth,0
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,149,27,1,0,1,wont believ true incred txt repli g learn truli amaz thing blow mind ofwd ptxt,1
ham,1's finish meeting call me.,27,5,1,0,0,finish meet call,0
ham,Nope. Meanwhile she talk say make i greet you.,46,9,0,0,0,nope meanwhil talk say make greet,0
ham,Did you try making another butt.,32,6,0,0,0,tri make anoth butt,0
ham,I'm home. Ard wat time will u reach?,36,8,0,0,0,im home ard wat time u reach,0
ham,Pls dont restrict her from eating anythin she likes for the next two days.,74,14,0,0,0,pl dont restrict eat anythin like next two day,0
ham,YO YO YO BYATCH WHASSUP?,24,5,0,0,0,yo yo yo byatch whassup,0
ham,No plans yet. What are you doing ?,34,8,0,0,0,plan yet,0
ham,No need to buy lunch for me.. I eat maggi mee..,47,11,0,0,0,need buy lunch eat maggi mee,0
ham,Ok. C u then.,13,4,0,0,0,ok c u,0
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",149,35,1,0,0,fight world easi u either win lose bt fightng close u dificult u lose u lose u win u still lose,0
ham,Then we wait 4 u lor... No need 2 feel bad lar...,49,12,1,0,0,wait u lor need feel bad lar,0
ham,"Aight, tomorrow around  &lt;#&gt;  it is",40,6,0,0,0,aight tomorrow around ltgt,0
ham,Pandy joined 4w technologies today.he got job..,47,7,1,0,0,pandi join w technolog todayh got job,0
ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,132,27,0,0,0,ltdecimalgt common car better buy china asia find less expens ill holla,0
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,155,26,1,1,1,mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat orstoptxt,1
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,133,27,1,0,0,sir that hr trip bu last week anoth audit next wednesday think might drive time,0
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",142,31,0,0,0,anyway go gym whatev love smile hope ok good day babe miss much alreadi,0
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,95,22,1,0,0,also thk fast xy suggest one u dun wan ok go rain leh got gd,0
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",118,22,0,0,0,send ur birthdat month year tel u ur life partner name method calcul repli must,0
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,83,5,1,0,0,httptm widelivecomindex wmlidadafirsttruec c rington,1
ham,Ok...,5,1,0,0,0,ok,0
ham,She.s find. I sent you an offline message to know how anjola's now.,67,13,0,0,0,she find sent offlin messag know anjola,0
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,80,15,0,0,0,usual take fifteen fuck minut respond ye question,0
ham,Just wait till end of march when el nino gets himself. Oh.,58,12,0,0,0,wait till end march el nino get oh,0
ham,I am sorry it hurt you.,23,6,0,0,0,sorri hurt,0
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,88,19,0,0,0,dad gonna call get work ask crazi question,0
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",149,32,0,0,2,oh right ok ill make sure load work day got realli nasti cough today dri n shot realli help,0
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",142,32,1,0,0,hellogorg how u fone charg lst nitw wen u texd hopeu ad nice wkend im sure u lookin ward cin u mrw luv jaz,0
ham,"Awesome, think we can get an 8th at usf some time tonight?",58,12,1,0,0,awesom think get th usf time tonight,0
ham,Why she wants to talk to me,27,7,0,0,0,want talk,0
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,158,34,1,0,0,co shop wif darren ju n call ask wat present wan lor start guess wif n final guess darren lor,0
ham,How are you doing. How's the queen. Are you going for the royal wedding,71,14,0,0,0,how queen go royal wed,0
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,77,19,1,0,0,huh slow tot u reach long ago liao u day leh,0
ham,He remains a bro amongst bros,29,6,0,0,0,remain bro amongst bro,0
ham,Rofl. Its true to its name,26,6,0,0,0,rofl true name,0
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",156,23,1,0,3,hi night ur lucki night uve invit xchat uk wildest chat txt chat pmsgrcvdhgsuitelandsrowwjhl ldn yr,1
ham,Hi! This is Roger from CL. How are you?,39,9,0,0,1,hi roger cl,0
